No,year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
41333,2014,9,19,4,3,16,77.79,1013,20,cv,0,0,0
41335,2014,9,19,6,3,18,93.94,1013,19,NW,5,0.3,0.3
41336,2014,9,19,7,3,17,88.2,1014,19,NE,3,2.2,2.5
41337,2014,9,19,8,3,18,93.94,1014,19,NE,7,1.5,4
41338,2014,9,19,9,3,18,93.94,1014,19,NE,9,1.2,5.2
41339,2014,9,19,10,3,18,93.94,1014,19,NE,13,0.2,5.4
41340,2014,9,19,11,3,18,93.94,1013,19,NE,17,0,0
41341,2014,9,19,12,3,18,88.28,1013,20,NE,21,0,0
41342,2014,9,19,13,3,18,88.28,1012,20,NE,25,0.1,0.1
41343,2014,9,19,14,3,18,88.28,1012,20,NE,29,0.3,0.4
41344,2014,9,19,15,3,17,82.89,1012,20,NE,33,1,1.4
41345,2014,9,19,16,3,17,88.2,1012,19,NE,37,0.8,2.2
41346,2014,9,19,17,3,17,88.2,1012,19,NE,40,0.3,2.5
41347,2014,9,19,18,3,18,93.94,1012,19,NE,42,0.1,2.6
41348,2014,9,19,19,3,18,93.94,1012,19,NW,2,0,0
41350,2014,9,19,21,3,18,93.94,1013,19,NW,6,0,0
41351,2014,9,19,22,3,18,93.94,1013,19,NW,8,0,0
41352,2014,9,19,23,3,18,93.94,1012,19,SW,2,0,0
41353,2014,9,20,0,3,18,93.94,1012,19,NW,1,0,0
41354,2014,9,20,1,3,18,93.94,1011,19,NW,3,0,0
41355,2014,9,20,2,3,18,93.94,1011,19,NW,5,0,0
41356,2014,9,20,3,3,18,93.94,1011,19,NW,8,0,0
41357,2014,9,20,4,3,18,93.94,1010,19,NW,12,0,0
41358,2014,9,20,5,3,18,93.94,1010,19,NW,15,0,0
41359,2014,9,20,6,3,18,100,1011,18,NW,17,0,0
41361,2014,9,20,8,3,19,88.37,1012,21,NW,24,0,0
41362,2014,9,20,9,3,20,83.25,1012,23,NW,29,0,0
41363,2014,9,20,10,3,20,78.39,1012,24,NW,33,0,0
41364,2014,9,20,11,3,20,73.84,1011,25,NW,37,0,0
41365,2014,9,20,12,3,19,65.41,1011,26,NE,3,0,0
41366,2014,9,20,13,3,20,69.6,1010,26,NE,6,0,0
41367,2014,9,20,14,3,19,65.41,1010,26,NE,12,0,0
41368,2014,9,20,15,3,19,69.4,1010,25,NE,16,0,0
41370,2014,9,20,17,3,19,73.67,1010,24,NE,26,0,0
41371,2014,9,20,18,3,19,78.24,1011,23,NE,30,0,0
41372,2014,9,20,19,3,19,78.24,1011,23,NE,33,0,0
41374,2014,9,20,21,3,19,78.24,1012,23,NE,39,0,0
41375,2014,9,20,22,3,19,78.24,1012,23,NE,42,0,0
41376,2014,9,20,23,3,19,78.24,1012,23,NE,46,0,0
41378,2014,9,21,1,3,19,83.13,1012,22,NE,51,0,0
41379,2014,9,21,2,3,19,88.37,1012,21,NE,54,0,0
41381,2014,9,21,4,3,20,88.45,1011,22,NE,61,0,0
41382,2014,9,21,5,3,19,88.37,1012,21,NE,64,0,0
41383,2014,9,21,6,3,19,83.13,1012,22,NE,67,0,0
41384,2014,9,21,7,3,20,88.45,1013,22,NE,71,0,0
41386,2014,9,21,9,3,19,69.4,1014,25,NE,84,0,0
41387,2014,9,21,10,3,18,61.44,1014,26,NE,91,0,0
41388,2014,9,21,11,3,18,57.93,1014,27,NE,97,0,0
41389,2014,9,21,12,3,17,54.39,1013,27,NE,106,0,0
41390,2014,9,21,13,3,17,51.31,1013,28,NE,113,0,0
41391,2014,9,21,14,3,17,54.39,1012,27,NE,121,0,0
41392,2014,9,21,15,3,17,54.39,1012,27,NE,130,0,0
41393,2014,9,21,16,3,16,54.14,1013,26,NE,137,0,0
41394,2014,9,21,17,3,18,65.19,1013,25,NE,144,0,0
41395,2014,9,21,18,3,17,64.98,1013,24,NE,152,0,0
41396,2014,9,21,19,3,18,69.2,1013,24,NE,159,0,0
41397,2014,9,21,20,3,18,69.2,1014,24,NE,166,0,0
41398,2014,9,21,21,3,18,69.2,1015,24,NE,171,0,0
41399,2014,9,21,22,3,18,69.2,1014,24,NE,177,0,0
41400,2014,9,21,23,3,18,73.5,1014,23,NE,183,0,0
41401,2014,9,22,0,3,19,78.24,1014,23,NE,188,0,0
41402,2014,9,22,1,3,19,78.24,1014,23,NE,193,0,0
41403,2014,9,22,2,3,18,73.5,1013,23,NE,201,0,0
41404,2014,9,22,3,3,19,78.24,1013,23,NE,207,0,0
41405,2014,9,22,4,3,17,69.01,1013,23,NE,214,0,0
41406,2014,9,22,5,3,19,78.24,1013,23,NE,220,0,0
41407,2014,9,22,6,3,19,83.13,1013,22,NE,227,0,0
41408,2014,9,22,7,3,20,88.45,1013,22,NE,235,0,0
