No,year,month,day,hour,season,PM_Jingan,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
26305,2013,1,1,0,4,66,-5,69,1023,0,SW,60,0,0
26306,2013,1,1,1,4,67,-5,69,1023,0,SW,62,0,0
26308,2013,1,1,3,4,73,-4,74.41,1023,0,SW,65,0,0
26309,2013,1,1,4,4,75,-4,80.04,1023,-1,SW,68,0,0
26310,2013,1,1,5,4,73,-4,80.04,1023,-1,SW,70,0,0
26311,2013,1,1,6,4,74,-4,80.04,1023,-1,SW,71,0,0
26312,2013,1,1,7,4,73,-4,86.15,1024,-2,cv,0,0,0
26313,2013,1,1,8,4,77,-5,79.89,1024,-2,cv,1,0,0
26314,2013,1,1,9,4,73,-3,60.25,1025,4,SW,4,0,0
26315,2013,1,1,10,4,82,-4,48.63,1025,6,SW,8,0,0
26316,2013,1,1,11,4,78,-4,42.4,1024,8,SW,12,0,0
26318,2013,1,1,13,4,52,-6,34.05,1023,9,NW,4,0,0
26319,2013,1,1,14,4,54,-6,31.84,1022,10,NW,7,0,0
26320,2013,1,1,15,4,52,-7,29.48,1022,10,NW,10,0,0
26321,2013,1,1,16,4,49,-7,29.48,1022,10,SW,3,0,0
26322,2013,1,1,17,4,56,-7,31.53,1022,9,SW,5,0,0
26323,2013,1,1,18,4,71,-5,45.1,1022,6,SW,6,0,0
26324,2013,1,1,19,4,88,-4,52.13,1023,5,NE,1,0,0
26325,2013,1,1,20,4,110,-3,64.66,1023,3,SE,1,0,0
26326,2013,1,1,21,4,101,-2,64.9,1023,4,SE,2,0,0
26327,2013,1,1,22,4,93,-3,69.43,1024,2,cv,0,0,0
26328,2013,1,1,23,4,78,-3,74.59,1024,1,NE,1,0,0
26329,2013,1,2,0,4,81,-3,69.43,1024,2,NE,3,0,0
26331,2013,1,2,2,4,91,-2,86.37,1024,0,NE,6,0,0
26332,2013,1,2,3,4,77,-3,74.59,1025,1,NE,8,0,0
26333,2013,1,2,4,4,77,-3,80.19,1025,0,NE,11,0,0
26334,2013,1,2,5,4,78,0,80.63,1025,3,NE,15,0,0
26335,2013,1,2,6,4,79,0,80.63,1025,3,NE,20,0,0
26336,2013,1,2,7,4,79,0,75.14,1026,4,NE,25,0,0
26337,2013,1,2,8,4,96,0,70.06,1028,5,NE,30,0,0
26338,2013,1,2,9,4,104,1,70.27,1028,6,NE,37,0,0
